NV,35.15
AZ,24.59
UT,23.77
ID,21.15
TX,20.59
NC,18.46
GA,18.34
FL,17.64
CO,16.92
SC,15.29
DE,14.59
WY,14.14
WA,14.09
AK,13.29
NM,13.2
VA,13.03
HI,12.28
OR,11.97
TN,11.54
CA,9.99
MT,9.67
AR,9.07
MD,9.01
OK,8.71
SD,7.86
MN,7.81
AL,7.48
KY,7.36
MO,7.04
NE,6.72
IN,6.63
NH,6.53
KS,6.13
WI,6.03
DC,5.19
CT,4.95
ND,4.73
NJ,4.49
MS,4.31
ME,4.19
IA,4.1
PA,3.43
IL,3.31
MA,3.13
VT,2.78
WV,2.47
NY,2.12
OH,1.62
LA,1.44
RI,0.41
MI,-0.55
