Year,Total,OneRace,S,White,W,Black,B,NativeAm,N,Asian,A,PacIslander,P,Other,O,TwoOrMore,T
2000,246116088,241513942,0.9813,194552774,0.7905,33947837,0.1379,2068883,0.0084,10123169,0.0411,353509,0.0014,467770,0.0019,4602146,0.0187
2010,258267944,252301463,0.9769,196817552,0.7621,37685848,0.1459,2247098,0.0087,14465124,0.0560,481576,0.0019,604265,0.0023,5966481,0.0231
2020,269369237,255820254,0.9497,191697647,0.7117,39940338,0.1483,2251699,0.0084,19618719,0.0728,622018,0.0023,1689833,0.0063,13548983,0.0503
