FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005, P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029, P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065, P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018, P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030, P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066, P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003
PLST,IA,0,2,1,2450103,2345280,2126641,88101,10353,57149,3552,59484,104823,100547,11063,23554,7132,618,52818,937,376,56,1063,120,22,713,1717,299,59,3863,1341,213,61,412,192,19,996,270,154,35,32,11,60,37,18,1,1,3,4,3,317,65,20,138,8,6,14,17,14,4,16,2,0,0,7,6,88,41,28,3,3,2,11,8,8,2450103,134104,2315999,2253225,2093769,86796,6662,56772,3447,5779,62774,60299,10586,22346,6933,595,16056,866,348,47,498,104,18,37,1682,165,18,2256,1177,187,47,157,161,17,100,258,45,13,28,10,17,21,10,0,1,0,4,3,168,54,11,39,8,4,6,17,2,3,11,0,0,0,7,6,48,30,13,2,0,2,1,3,3,1412789,1288560,124229
PLST,KS,0,2,1,2229316,2059933,1743825,125260,23072,66372,2362,99042,169383,162106,13501,45083,8996,853,85918,2729,660,132,1673,146,40,1338,620,294,123,6566,2356,312,58,656,400,61,1839,382,206,21,62,18,101,31,14,14,3,11,0,21,617,155,34,245,16,29,10,52,29,6,17,6,2,6,1,9,70,39,22,6,0,2,1,24,24,2229316,241586,1987730,1898416,1683982,122508,16995,65780,2173,6978,89314,85218,12728,42501,8691,810,15592,2514,637,131,650,123,27,74,580,136,24,3773,2057,298,57,236,333,55,157,352,55,5,57,14,46,22,0,9,0,0,0,20,280,115,32,56,12,15,2,41,2,0,0,3,0,1,1,0,31,26,4,0,0,0,1,12,12,1275689,1151360,124329
PLST,KY,0,2,1,3483900,3333651,2933597,268710,9816,55369,2528,63631,150249,143503,19810,51126,8969,848,53755,2067,735,197,3324,129,41,795,1248,335,124,6034,2413,350,61,663,395,58,1272,302,227,48,43,18,90,45,11,2,5,11,4,16,595,157,21,255,32,35,4,31,22,0,6,12,11,5,4,0,97,42,26,10,14,1,4,20,20,3483900,133075,3350825,3244495,2905545,265961,6657,54971,2391,8970,106330,101692,19217,50131,8746,800,16881,1977,728,182,1382,112,41,57,1205,218,15,4220,2216,315,55,315,365,58,357,286,93,11,33,12,40,38,1,2,5,8,0,10,342,127,15,108,23,11,4,30,9,0,2,9,2,1,1,0,63,31,14,5,8,1,4,13,13,1994323,1797937,196386
PLST,LA,0,2,1,3570548,3390241,2124511,1073754,23497,68753,1476,98250,180307,169215,18851,37123,9329,765,84853,5100,1299,248,9241,207,60,1148,391,409,191,9531,3096,406,65,1642,453,71,2336,315,427,77,98,25,260,103,82,28,12,13,2,20,1361,197,27,875,45,40,22,20,42,3,14,26,19,1,25,5,167,62,77,3,11,6,8,33,33,3570548,223662,3346886,3248981,2082110,1066511,19531,67983,1322,11524,97905,91451,18172,34949,8985,730,16982,4858,1215,226,4426,174,42,149,351,161,31,5646,2752,366,56,920,384,61,251,297,87,26,83,21,177,83,50,9,1,5,1,16,684,153,25,338,34,24,13,17,11,0,7,21,16,0,25,0,104,42,42,1,7,4,8,20,20,2073200,1831610,241590
PLST,ME,0,2,1,1110085,1067262,1023211,16949,6020,13430,360,7292,42823,41056,3254,17261,3611,278,15480,196,95,25,442,66,13,103,132,77,23,1583,472,94,15,214,107,38,320,152,82,14,15,5,18,5,13,0,7,4,0,8,140,15,1,67,11,6,0,13,12,1,4,6,4,0,0,0,44,26,7,2,3,6,0,0,0,1110085,17656,1092429,1056691,1017504,16551,5603,13336,332,3365,35738,34603,3103,16988,3549,274,9887,176,93,20,249,60,5,26,122,49,2,1050,434,76,10,115,102,30,62,145,32,7,4,1,5,5,7,0,7,4,0,4,68,11,1,21,7,5,0,10,4,1,0,4,4,0,0,0,17,16,0,0,0,1,0,0,0,739072,582437,156635
PLST,MD,0,2,1,4815202,4506654,2461512,1404055,23928,334516,2495,280148,308548,286635,37025,36073,27853,1215,138254,11966,5124,743,18605,551,77,5982,1118,1586,463,18977,7033,1526,146,2837,690,66,3834,667,838,71,246,72,409,129,252,54,24,42,8,33,2602,617,64,1448,61,178,12,46,75,26,18,16,17,5,16,3,292,113,133,17,19,1,9,42,42,4815202,492262,4322940,4157786,2401360,1388741,9788,332666,2035,23196,165154,152679,34912,33556,27050,1162,27150,11323,4943,703,9075,459,53,188,1047,961,97,11212,6194,1404,140,942,609,60,173,605,269,16,218,64,171,118,167,22,15,13,0,12,1091,513,60,253,61,86,4,42,8,14,9,15,10,3,10,3,144,67,49,13,9,1,5,28,28,2530844,2321208,209636
PLST,MA,0,2,1,5663723,5253507,4086011,374739,18009,409577,1915,363256,410216,388464,29149,31737,28928,1234,222590,4660,1976,500,58747,450,92,3879,851,2100,1571,18705,4101,797,77,7307,486,56,2795,670,792,145,118,17,784,63,271,115,16,24,15,56,2786,287,32,2014,35,176,36,29,52,7,58,4,16,0,36,4,239,102,110,13,9,5,0,22,22,5663723,621508,5042215,4825614,3988985,351465,7430,407742,1391,68601,216601,205799,25740,29577,28275,1171,78852,3931,1840,451,32795,389,39,572,787,1089,291,9764,3064,703,61,3412,430,46,306,637,306,45,98,12,311,39,187,73,10,7,0,17,886,218,17,413,29,94,22,15,5,2,37,2,16,0,16,0,133,72,43,7,6,5,0,19,19,2998537,2749225,249312
PLST,MI,0,2,1,7914602,7516298,6021926,1031144,46287,260085,2305,154551,398304,378406,48681,106168,30693,1715,167797,8878,2217,326,7107,480,81,2100,914,998,251,18032,7595,1008,139,2047,832,136,3719,861,837,95,201,26,272,88,96,10,25,16,0,29,1573,416,77,704,38,75,18,55,66,7,56,31,17,0,12,1,243,127,86,0,12,10,8,50,50,7914602,367645,7546957,7273227,5928796,1021516,36450,258756,1985,25724,273730,260781,46496,101413,30039,1637,64621,8410,2116,308,3547,406,46,208,848,635,51,11944,6892,924,130,895,745,117,419,801,497,24,165,22,127,85,64,2,19,4,0,12,839,327,57,240,31,37,11,45,26,0,35,18,10,0,1,1,132,79,34,0,6,5,8,34,34,4570173,4041760,528413
PLST,MN,0,2,1,4389033,4190252,3550129,260434,47060,215605,2058,114966,198781,188133,24170,44296,19244,1104,87311,3034,1128,176,2987,448,67,1828,1169,917,254,9519,3818,639,87,935,503,78,1967,625,372,55,60,34,122,44,63,13,30,18,1,55,954,214,35,472,25,96,0,54,22,0,7,5,14,4,6,0,156,59,70,7,12,4,4,19,19,4389033,218767,4170266,4037188,3509053,257353,39560,214681,1861,14680,133078,126408,23054,42167,18789,1059,33385,2805,1087,172,1443,387,58,96,1133,653,120,6120,3356,587,82,348,434,63,213,593,127,19,55,22,50,43,46,2,24,10,0,46,477,166,29,125,19,66,0,49,3,0,2,3,11,4,0,0,61,34,27,0,0,0,0,12,12,2485558,2253990,231568
PLST,MS,0,2,1,2277599,2207098,1328758,802963,11277,26016,848,37236,70501,66497,11786,21459,4474,390,21859,2795,641,153,1945,96,25,419,217,157,81,3448,1457,167,33,356,195,31,667,126,110,12,55,14,102,61,37,1,7,7,2,8,444,111,27,174,15,17,1,23,6,4,9,10,14,0,33,0,87,38,29,7,8,0,5,25,25,2277599,68637,2208962,2155663,1315451,799388,9701,25718,767,4638,53299,50525,11519,20946,4359,368,8166,2688,604,147,1243,93,21,73,196,81,21,2419,1344,152,33,205,169,27,106,114,37,8,46,14,69,56,22,0,7,3,1,6,276,90,22,81,15,6,1,17,1,0,2,6,10,0,25,0,69,27,22,7,8,0,5,10,10,1319945,1158193,161752
