FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005, P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029, P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065, P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018, P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030, P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066, P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003
PLST,OH,0,2,1,9207562,8793288,7297449,1085613,23558,230222,3597,152849,414274,390293,62288,118095,30137,2051,149423,9824,2519,513,10478,443,70,1867,1087,1078,420,21273,10222,1237,203,2688,1043,138,3138,1018,534,75,196,69,397,124,89,23,20,19,13,27,2357,585,124,1215,64,94,6,81,72,8,34,20,22,9,14,9,306,151,96,15,30,3,11,45,45,9207562,336028,8871534,8569286,7218892,1073902,15496,228920,3233,28843,302248,285919,59866,114778,29504,1948,59966,9284,2413,484,5279,393,48,203,997,695,61,14993,9279,1139,180,1142,944,115,427,969,194,22,182,56,123,112,65,13,10,5,2,14,1125,468,106,306,50,43,3,66,16,0,24,10,16,5,12,0,183,110,42,7,13,3,8,28,28,5242524,4808773,433751
PLST,OK,0,2,1,3010698,2696494,2028656,216160,231207,70077,5347,145047,314204,299973,18830,166019,11642,1233,83623,11331,986,198,2234,545,217,1938,631,395,151,13249,6618,411,68,868,1127,189,2727,529,234,35,100,31,160,31,16,9,52,16,7,21,858,199,30,421,18,36,0,68,40,5,10,13,7,1,10,0,105,58,37,3,0,1,6,19,19,3010698,295621,2715077,2480844,1963854,212976,219638,69282,5082,10012,234233,224241,18008,160997,11238,1135,17999,10955,933,182,1102,485,204,238,578,159,28,9437,6124,381,60,421,1018,153,427,493,72,8,83,29,82,20,4,8,38,2,0,14,466,167,28,139,15,20,0,62,8,1,1,9,5,1,10,0,77,52,21,2,0,1,1,12,12,1746807,1535830,210977
PLST,OR,0,2,1,3370652,3076781,2609035,62346,47566,158577,13690,185567,293871,276283,16612,72573,32329,4522,137520,1636,1019,280,1881,544,234,2942,2980,904,307,15865,3069,750,156,1116,1495,323,4589,2990,790,150,86,23,99,61,41,3,50,14,3,57,1427,236,55,538,74,53,8,214,118,11,83,17,11,8,1,0,253,132,77,5,19,20,0,43,43,3370652,389394,2981258,2806395,2526275,60012,32769,156707,13091,17541,174863,165180,15677,66960,31026,4258,39949,1394,946,264,667,428,187,136,2761,402,125,8893,2553,658,130,421,1255,275,384,2741,190,39,71,22,26,47,26,0,35,0,0,20,650,165,42,139,69,29,6,165,10,0,12,11,2,0,0,0,118,74,28,0,9,7,0,22,22,1813747,1671983,141764
PLST,PA,0,2,1,10353548,9866356,8011431,1070165,23520,400676,3289,357275,487192,459561,59007,79542,35624,2157,234846,10922,3494,699,23768,607,132,3872,1410,1983,1498,23792,9340,1303,207,4952,761,133,3544,851,855,133,224,60,879,128,207,77,12,42,27,57,3473,626,104,2222,64,158,26,65,69,21,47,19,29,0,18,5,305,143,140,10,9,0,3,61,61,10353548,704258,9649290,9373629,7884010,1039831,12123,398348,2519,36798,275661,261614,54124,76466,34640,2052,70951,9750,3264,648,6416,532,64,234,1334,1007,132,12789,7531,1129,173,1061,669,120,296,795,280,31,184,59,170,110,109,30,8,19,0,15,1064,493,76,239,45,83,15,41,21,1,13,16,12,0,9,0,160,114,39,0,4,0,3,34,34,5742828,5210598,532230
PLST,PR,0,2,1,2724903,1368270,481091,194545,14526,3351,471,674286,1356633,1277372,20405,2119,554,155,1048144,2146,229,69,189622,113,48,10999,35,914,1820,51791,7976,157,4,31693,27,8,3062,32,363,228,15,3,7378,20,635,89,11,36,38,16,27166,63,18,26617,3,239,33,5,22,35,43,0,42,12,27,7,280,32,182,55,3,4,4,24,24,2724903,2692743,32160,30186,21575,3785,276,2392,69,2089,1974,1862,362,178,248,27,782,45,20,2,138,8,1,9,9,31,2,100,27,8,0,24,4,0,14,7,6,2,0,0,1,0,5,2,0,0,0,0,10,2,0,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1598159,1340534,257625
PLST,RI,0,2,1,887594,819583,661221,46356,5420,31719,402,74465,68011,63156,5051,6194,3784,225,31127,1534,199,63,13195,60,14,815,157,289,449,4194,1031,120,22,1686,92,18,469,85,111,38,23,9,319,26,62,31,5,25,15,7,612,74,14,438,10,32,6,4,7,3,4,3,2,10,5,0,40,9,19,8,0,4,0,9,9,887594,125988,761606,727178,642435,41924,2699,31412,255,8453,34428,31619,4373,5776,3666,210,7099,1343,177,54,8399,46,11,134,136,120,75,2507,813,105,15,949,89,9,66,83,38,10,13,2,215,26,32,16,2,15,2,7,267,65,13,139,10,18,6,4,0,1,0,0,2,4,5,0,30,9,12,6,0,3,0,5,5,483474,441274,42200
PLST,SC,0,2,1,4014460,3827458,2645357,971344,18598,71009,2462,118688,187002,177182,23248,46890,12255,974,77838,5771,1551,334,5598,210,57,1140,632,474,210,8479,3532,506,67,1075,470,76,1484,443,294,43,83,17,184,87,51,14,20,7,5,21,1101,226,44,550,47,51,6,67,37,7,24,14,7,3,14,4,210,86,86,12,14,8,4,30,30,4014460,231124,3783336,3667057,2603975,964667,13333,70272,2212,12598,116279,109937,22385,45580,11920,935,18210,5492,1473,296,2450,177,55,91,590,256,27,5633,3196,455,57,441,430,76,190,415,110,17,71,15,53,56,16,4,20,0,0,11,553,184,41,174,37,24,5,49,5,2,6,8,5,0,13,0,142,73,45,11,7,2,4,14,14,2344963,2048912,296051
PLST,SD,0,2,1,669255,643144,561954,11645,48674,10005,430,10436,26111,25003,2012,10436,1764,200,9417,385,88,11,211,88,32,206,89,33,31,973,323,55,20,75,69,19,243,80,17,19,15,0,13,4,0,8,6,0,4,3,113,10,8,29,13,8,4,20,6,4,3,0,2,0,1,5,22,11,3,0,1,6,1,0,0,669255,23855,645400,626358,556081,11408,47084,9918,395,1472,19042,18404,1936,9974,1716,183,3831,339,86,8,93,76,27,34,78,17,6,580,276,45,20,33,49,14,29,80,6,5,7,0,7,2,0,5,0,0,0,2,45,4,8,9,8,2,0,12,0,0,0,0,2,0,0,0,13,6,3,0,0,4,0,0,0,393375,350560,42815
PLST,TN,0,2,1,5384473,5120178,4013858,817496,21197,104794,2950,159883,264295,252224,27596,86065,17014,1483,104215,4750,1580,292,5366,243,74,1947,750,622,227,10712,4119,598,85,1217,748,133,2255,620,343,74,84,21,170,105,44,18,29,12,2,35,1137,276,41,523,31,71,3,63,55,8,24,12,6,6,10,8,210,103,81,9,8,5,4,12,12,5384473,305717,5078756,4905355,3958296,812207,12745,103925,2625,15557,173401,165678,26656,83818,16580,1417,26920,4527,1521,275,2471,208,54,134,709,353,35,6989,3746,559,82,478,670,123,300,577,117,23,82,14,64,86,29,4,19,6,0,10,579,217,29,174,31,31,1,54,13,4,11,5,2,0,7,0,145,83,55,4,3,0,0,10,10,3031605,2742947,288658
PLST,TX,0,2,1,21866700,18325577,11466950,2627714,206988,1219232,23781,2780912,3541123,3443781,94664,244061,89592,6794,2871897,19407,9864,2029,42948,2118,431,40995,8612,7978,2391,87583,15124,3125,378,11188,3116,494,41071,3371,5526,645,490,97,1389,453,418,120,77,208,74,219,8489,1286,159,4898,222,429,40,325,652,59,214,69,58,2,53,23,1150,388,567,78,37,53,27,120,120,21866700,7907319,13959381,13383911,9437993,2575257,67248,1205578,20144,77691,575470,545646,85987,210345,83866,5969,104449,17523,9236,1884,13150,1464,233,691,8021,2584,244,26828,11855,2677,328,2628,2340,381,1169,3019,684,78,388,68,442,367,198,51,39,16,10,90,2524,937,113,707,169,151,18,230,54,2,47,49,18,2,27,0,424,224,150,19,13,12,6,48,48,11589324,10491147,1098177
PLST,UT,0,2,1,2324051,2157567,1861739,26919,29983,63947,23909,151070,166484,157826,7750,20437,16076,5770,100033,537,399,274,1547,217,170,2198,1622,596,200,7843,805,223,83,597,379,152,3069,1803,401,91,30,8,41,49,29,2,18,18,0,45,720,67,23,329,36,19,3,92,61,15,44,10,5,8,1,7,90,34,33,8,0,10,5,5,5,2324051,316610,2007441,1939192,1798000,25370,20985,62825,23424,8588,68249,64449,7158,17603,15396,5589,14976,413,371,268,449,165,149,92,1532,229,59,3499,582,209,77,160,290,134,116,1719,76,12,18,8,0,38,20,2,16,2,0,20,259,49,15,51,30,7,3,66,0,1,23,5,4,5,0,0,42,30,3,4,0,0,5,0,0,1151414,1057252,94162
PLST,VT,0,2,1,524482,499124,477428,6392,1866,9191,155,4092,25358,24302,1584,9968,2038,139,9992,127,30,13,222,24,11,61,36,50,7,928,332,49,11,137,69,13,176,48,32,23,1,0,8,10,4,0,2,3,2,8,102,21,5,52,9,0,0,6,0,0,2,4,2,1,0,0,22,7,13,0,0,2,0,4,4,524482,11113,513369,493111,474146,6143,1632,9117,144,1929,20258,19609,1484,9782,1996,139,5833,110,30,13,93,24,11,14,36,44,0,580,289,46,8,51,59,9,33,45,6,10,0,0,7,10,3,0,0,0,0,4,55,21,5,18,6,0,0,5,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,4,4,334318,271890,62428
PLST,VA,0,2,1,6745054,6303145,4235488,1242045,30348,481424,5374,308466,441909,413594,49006,65493,54322,2447,199822,11242,5431,683,14275,612,64,5047,2470,2208,472,24524,8376,1769,213,3358,1168,129,4993,1529,1367,85,312,67,458,313,190,31,21,40,23,82,3330,688,91,1818,139,168,12,114,136,8,84,14,10,9,33,6,429,168,214,23,5,9,10,32,32,6745054,614314,6130740,5889671,4136979,1224840,15376,478337,4754,29385,241069,225354,46443,61758,52872,2314,35150,10531,5220,656,5993,490,39,172,2335,1287,94,14174,7187,1602,182,1080,999,118,304,1394,362,16,273,51,165,228,126,16,19,3,5,44,1314,557,76,289,121,76,1,91,10,0,33,14,7,9,28,2,207,119,71,2,5,3,7,20,20,3618247,3321218,297029
PLST,WA,0,2,1,6024689,5496473,4190823,230367,89010,589367,44998,351908,528216,493034,40219,102912,77860,8842,228936,4520,5056,1000,5078,1894,480,4494,8521,2497,725,31469,6301,2420,369,2236,3294,577,7091,5826,1644,241,310,60,277,270,135,21,164,67,19,147,3244,709,127,1101,217,165,24,428,185,25,186,42,12,5,9,9,393,191,127,15,28,29,3,76,76,6024689,690674,5334015,5010567,4058504,223861,68149,584457,43639,31957,323448,302156,37863,95079,75098,8387,62083,4019,4808,918,1980,1593,414,223,8030,1309,352,19393,5367,2220,344,763,2879,509,571,5299,419,62,263,53,97,235,82,9,131,14,8,68,1684,550,114,284,175,82,10,345,31,12,36,26,4,5,8,2,187,117,39,8,9,12,2,28,28,3202241,2974692,227549
PLST,WV,0,2,1,1432932,1378760,1301276,52688,3147,12377,365,8907,54172,51883,7279,23411,2905,292,16195,623,141,47,582,40,23,101,120,91,33,2058,992,118,29,219,132,30,313,105,50,17,17,4,10,13,0,0,0,2,3,4,194,35,7,85,9,10,4,23,2,3,4,0,4,2,5,1,34,15,18,0,0,0,1,3,3,1432932,23483,1409449,1363350,1293040,52002,2761,12233,333,2981,46099,44403,7111,23072,2836,279,9704,613,132,47,327,40,23,19,119,71,10,1576,941,113,21,111,120,23,79,97,23,11,14,4,5,13,0,0,0,0,0,1,100,25,4,30,6,9,4,17,2,1,0,0,0,2,0,0,20,10,9,0,0,0,1,0,0,855635,743442,112193
PLST,WI,0,2,1,4612300,4397431,3837032,263609,43291,126833,1657,125009,214869,205256,20426,44916,15350,1196,113498,2730,667,113,3099,275,66,1510,715,488,207,8534,2836,408,81,1043,378,77,2396,555,327,52,74,5,196,24,33,8,2,11,11,17,963,198,24,541,28,38,8,24,48,22,22,1,7,0,2,0,107,56,37,1,4,2,7,9,9,4612300,284069,4328231,4208416,3774226,258704,35459,126019,1446,12562,119815,114899,19291,42402,14923,1146,31653,2472,628,99,989,249,45,73,682,235,12,4508,2424,360,68,305,318,66,162,520,93,14,66,4,60,14,19,3,2,2,0,8,358,152,23,94,24,11,8,20,10,3,10,1,2,0,0,0,50,32,13,1,1,2,1,0,0,2727726,2428361,299365
PLST,WY,0,2,1,441337,413558,381441,3895,9291,4271,411,14249,27779,26564,1283,7841,1617,240,14802,101,44,18,135,42,19,261,97,57,7,1100,200,54,16,60,70,28,448,102,56,14,7,2,17,0,8,3,3,11,0,1,106,26,5,24,6,3,5,12,8,0,9,4,3,1,0,0,8,2,3,0,0,1,2,1,1,441337,38153,403184,387844,370041,3666,7883,4139,355,1760,15340,14794,1207,7191,1531,226,4285,82,41,16,43,24,18,22,83,20,5,490,158,46,16,12,55,23,40,95,23,0,7,2,8,0,0,0,3,2,0,0,53,16,1,4,6,3,0,9,2,0,4,4,3,1,0,0,3,0,3,0,0,0,0,0,0,271887,234965,36922
