,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,Region
35,uPL,OH,0,2,1,8464801,8383518,7321138,886225,18152,101257,2018,54728,81283,75046,10230,25055,8629,729,15832,5439,1187,285,4068,405,47,609,761,1623,147,5661,3422,163,31,485,202,35,341,249,217,29,105,13,111,91,92,16,20,17,7,15,417,184,18,80,13,16,1,14,4,0,37,12,5,2,30,1,143,118,8,0,7,5,5,16,16,8464801,136785,8328016,8255925,7251418,880359,16514,100600,1721,5313,72091,66515,9712,24307,8437,671,10651,5261,1114,265,3292,369,38,225,729,1405,39,5104,3229,138,26,386,182,28,284,232,178,19,88,13,95,81,79,12,8,11,3,12,343,166,10,66,10,11,1,10,4,0,25,12,4,0,24,0,119,97,6,0,7,4,5,10,10,Mid_West
36,uPL,OK,0,2,1,2558294,2466046,2024909,176291,175086,35806,1651,52303,92248,89623,1978,67468,3709,462,8208,4122,407,89,744,399,95,734,428,687,93,2417,972,39,17,129,214,31,513,188,105,17,36,4,56,14,20,11,22,17,1,11,119,29,1,37,7,5,2,11,6,2,7,3,0,0,6,3,84,67,3,4,2,4,4,5,5,2558294,109226,2449068,2364065,1979637,174667,171677,35410,1470,1204,85003,82759,1842,66410,3602,417,3759,4013,371,78,458,365,84,381,411,536,32,2087,888,33,16,95,204,29,402,175,87,8,33,4,43,14,16,4,16,12,1,7,92,23,1,31,5,2,2,8,5,2,3,2,0,0,6,2,60,47,1,4,2,3,3,5,5,South_West
37,uPL,OR,0,2,1,2574873,2516752,2275322,38225,30731,76638,5492,90344,58121,54756,2721,22257,7280,1411,14492,829,354,74,859,388,129,907,1543,1271,241,3018,827,71,15,127,304,82,410,708,212,60,32,1,29,16,17,6,52,11,2,36,223,70,14,35,20,4,0,38,5,4,20,7,2,0,2,2,117,107,2,2,4,2,0,7,7,2574873,167539,2407334,2359945,2211384,36858,27697,75984,5134,2888,47389,44630,2474,21093,7067,1357,7598,779,335,66,530,345,112,194,1477,1056,147,2509,721,67,14,84,264,68,266,675,158,39,29,1,22,11,12,6,42,7,0,23,161,61,8,20,13,4,0,23,2,2,17,7,2,0,1,1,85,81,0,0,3,1,0,4,4,West
38,uPL,PA,0,2,1,9358833,9282417,8142120,844489,13255,164678,2518,115357,76416,71087,9704,13421,8375,840,19775,5154,1468,655,5882,726,49,635,972,3015,416,4684,2501,211,19,537,145,41,199,235,250,58,109,9,123,50,105,28,16,19,3,26,430,166,12,119,30,29,2,16,2,0,16,13,7,0,15,3,187,165,11,0,4,3,4,28,28,9358833,245424,9113409,9051696,8036037,832144,11139,163677,2032,6667,61713,57302,8557,12820,8149,771,11432,4913,1387,610,4046,669,37,222,957,2677,55,3911,2181,193,17,387,134,38,135,217,211,20,97,5,91,42,88,16,10,11,1,17,313,145,9,55,24,21,2,12,1,0,16,11,6,0,11,0,164,147,9,0,4,1,3,23,23,North_East
39,uPL,PR,0,2,1,2716509,2603930,2190027,221427,9041,5595,683,177157,112579,104132,61614,931,1028,274,23446,1004,399,117,9167,796,37,2560,33,2234,492,7805,3284,1047,30,2420,40,3,190,27,169,51,27,9,137,17,170,23,7,135,5,14,602,31,8,418,6,102,7,2,4,0,10,7,6,0,0,1,37,25,0,1,5,2,4,3,3,2716509,2681324,35185,33220,26100,3873,434,2313,234,266,1965,1854,435,72,368,29,582,29,26,12,144,65,4,25,9,48,6,91,29,4,2,7,10,0,5,7,13,2,1,2,1,1,0,0,1,2,0,4,5,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,15,11,0,0,0,0,4,0,0,South_East
40,uPL,RI,0,2,1,800497,783588,698952,31339,3244,16942,410,32701,16909,16056,1225,1750,1231,229,6081,974,110,84,2839,103,5,269,148,788,220,787,247,13,5,194,26,8,54,40,49,19,14,2,55,3,18,19,3,7,3,8,54,15,3,19,0,4,0,6,0,0,0,0,4,2,1,0,11,10,0,0,1,0,0,1,1,800497,55818,744679,732012,678358,28337,2723,16807,250,5537,12667,11989,901,1670,1200,211,3713,923,101,60,2106,89,5,98,140,679,93,622,208,11,4,135,22,7,44,38,39,8,12,0,51,3,12,17,1,2,1,7,48,12,3,16,0,4,0,6,0,0,0,0,4,2,1,0,7,6,0,0,1,0,0,1,1,North_East
41,uPL,SC,0,2,1,3002371,2979745,2097372,815702,9964,27486,1218,28003,22626,20951,1746,6500,2541,302,4829,1613,638,168,944,187,32,398,274,649,130,1376,567,29,6,115,69,14,98,126,62,18,41,2,27,81,51,10,14,21,9,16,196,56,6,20,11,2,0,15,2,0,27,20,2,0,31,4,93,74,5,0,8,3,3,10,10,3002371,67122,2935249,2916603,2066282,811439,9275,27155,955,1497,18646,17202,1583,6330,2456,286,2591,1568,579,138,608,162,20,115,260,462,44,1188,529,24,5,87,62,13,82,119,55,10,35,2,23,72,37,7,9,8,0,9,169,55,6,18,10,1,0,12,1,0,19,19,1,0,26,1,80,65,5,0,8,1,1,7,7,South_East
42,uPL,SD,0,2,1,552195,547529,504214,3073,34479,3133,190,2440,4666,4500,185,2712,462,41,651,102,24,2,122,39,21,40,51,45,3,155,71,7,1,5,8,0,25,22,8,0,2,1,0,1,0,1,1,0,2,0,7,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,552195,6382,545813,541595,501231,3009,33939,3092,158,166,4218,4073,174,2620,449,39,398,98,22,2,111,33,21,21,50,35,0,135,65,4,0,4,7,0,21,21,7,0,2,0,0,1,0,1,1,0,1,0,6,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,Mid_West
43,uPL,TN,0,2,1,4290762,4254477,3524497,636300,11530,42365,1597,38188,36285,34271,2399,14745,4052,494,6985,1593,538,137,1402,228,24,343,324,890,117,1751,680,46,5,137,116,20,224,172,131,25,33,1,43,38,42,11,8,9,4,6,180,58,3,18,9,10,2,17,4,1,28,7,5,0,17,1,79,67,4,0,2,3,3,4,4,4290762,84939,4205823,4173962,3484735,633387,10607,41948,1307,1978,31861,30098,2155,14417,3951,459,4418,1549,497,128,1107,201,14,131,306,729,36,1550,650,42,5,112,110,17,181,164,104,16,24,1,37,33,32,7,6,5,0,4,145,55,2,15,6,7,1,14,3,1,23,2,3,0,13,0,66,59,2,0,2,1,2,2,2,South_East
44,uPL,TX,0,2,1,14965061,14659207,10948322,1653377,82854,420011,9835,1544808,305854,295241,9612,49653,23649,2102,167103,5252,2781,660,11085,2010,158,5902,2628,11042,1604,9296,2657,297,51,882,490,89,1602,805,1085,230,129,11,238,201,217,50,45,102,28,87,856,325,13,149,52,20,12,55,32,8,63,27,8,12,72,8,407,316,48,0,13,13,17,54,54,14965061,4282901,10682160,10543445,8426166,1631448,51540,415219,7575,11497,138715,131305,7725,43925,21996,1762,28314,4875,2597,605,6036,1523,87,1022,2496,8057,285,6445,2156,234,38,510,378,65,819,726,658,73,113,10,161,192,174,33,35,15,3,52,613,274,10,75,40,12,7,46,10,5,41,21,5,8,56,3,318,253,32,0,7,11,15,34,34,South_West
45,uPL,UT,0,2,1,1514471,1491972,1366931,11415,18066,27959,8729,58872,22499,21382,845,4366,2987,1158,8838,179,154,41,401,143,89,553,546,782,300,1004,171,19,6,43,67,28,148,337,91,42,6,5,5,8,6,0,10,3,2,7,80,24,2,12,8,2,0,12,4,0,13,1,0,1,0,1,30,26,0,0,0,4,0,3,3,1514471,123364,1391107,1376337,1312182,10546,16358,27580,8563,1108,14770,13913,723,3849,2872,1119,3142,161,133,37,172,110,76,134,531,628,226,778,145,18,6,29,52,24,59,319,61,26,5,4,4,6,6,0,9,0,2,3,64,23,2,8,7,1,0,7,3,0,11,1,0,0,0,1,15,13,0,0,0,2,0,0,0,South_West
46,uPL,VA,0,2,1,5340253,5259116,3961442,984085,15947,199733,2952,94957,81137,75886,6071,13090,14381,910,22645,4543,1892,347,5281,690,46,710,1451,3560,269,4673,2176,199,20,420,216,34,286,377,392,44,104,18,100,89,87,33,21,19,7,31,414,183,13,70,21,17,1,35,9,2,37,12,2,0,12,0,156,134,9,0,2,3,8,8,8,5340253,226840,5113413,5049491,3853154,975472,14188,198551,2555,5571,63922,59546,5396,12360,13990,840,11197,4391,1788,319,3809,620,43,196,1413,3123,61,3926,1954,175,19,302,187,32,177,333,323,18,94,16,87,77,66,20,11,8,1,26,328,158,12,46,13,11,0,29,4,0,33,10,1,0,11,0,117,103,4,0,2,3,5,5,5,South_East
47,uPL,VT,0,2,1,461304,456857,448411,1980,1765,3699,103,899,4447,4239,244,2535,476,44,643,65,21,7,46,14,2,32,19,86,5,186,104,15,1,7,14,1,25,6,6,1,0,0,1,2,2,0,1,0,0,0,11,5,0,0,1,0,0,3,1,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,461304,3668,457636,453444,445764,1901,1717,3659,91,312,4192,4013,228,2490,466,39,527,61,20,7,36,14,2,24,18,78,3,160,85,15,1,6,14,0,22,6,6,0,0,0,1,1,2,0,1,0,0,0,10,5,0,0,1,0,0,2,1,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,0,North_East
48,uPL,WA,0,2,1,4380278,4269475,3674903,131323,62084,245735,15968,139462,110803,103389,6854,31566,19883,2944,23584,2276,1789,250,2695,1442,276,1315,4015,4071,429,6640,1911,268,33,385,710,130,594,1432,517,84,146,25,85,52,51,13,80,31,8,85,545,233,26,51,35,9,0,97,21,3,47,8,4,2,4,5,211,190,9,1,6,2,3,18,18,4380278,264099,4116179,4022810,3570441,128284,57677,243848,15276,7284,93369,87132,6349,29875,19163,2805,13169,2116,1733,224,2078,1304,236,533,3873,3440,234,5612,1689,241,30,273,624,118,403,1314,394,56,133,23,69,46,42,9,63,19,5,61,449,208,25,39,26,7,0,77,13,3,35,7,2,0,4,3,169,151,8,0,6,1,3,7,7,West
49,uPL,WI,0,2,1,3994919,3962813,3635741,189140,30560,53286,1143,52943,32106,30222,3124,9996,3680,423,8110,1165,306,47,856,327,33,342,662,1070,81,1678,811,48,8,154,73,15,141,192,77,15,29,3,42,9,19,18,9,7,0,8,123,55,4,22,16,1,0,11,5,1,3,1,0,0,2,2,66,61,1,1,1,2,0,17,17,3994919,117682,3877237,3852321,3580952,187021,28845,52872,965,1666,24916,23407,2833,9516,3561,400,3080,1101,290,43,512,305,29,111,655,952,19,1370,709,45,8,101,62,14,74,183,55,5,27,1,30,8,18,16,9,1,0,4,78,43,2,9,8,0,0,8,2,1,2,0,0,0,1,2,53,49,0,1,1,2,0,8,8,Mid_West
50,uPL,WV,0,2,1,1405951,1396727,1342079,42423,2839,7372,290,1724,9224,8658,891,4677,963,140,1221,277,88,19,130,25,8,40,56,113,10,503,249,16,0,33,31,4,64,39,27,2,9,0,4,5,6,1,0,0,0,13,42,14,2,9,2,0,0,5,2,0,7,1,0,0,0,0,20,15,2,0,0,0,3,1,1,1405951,8400,1397551,1388772,1335869,42160,2744,7320,243,436,8779,8244,868,4618,929,131,999,273,87,10,106,23,6,30,53,107,4,482,245,16,0,33,29,4,58,38,24,2,8,0,4,4,6,1,0,0,0,10,37,13,2,9,2,0,0,2,1,0,7,1,0,0,0,0,15,11,1,0,0,0,3,1,1,South_East
51,uPL,WY,0,2,1,364909,360037,339875,2623,7059,2180,205,8095,4872,4683,175,2101,431,68,1545,41,23,3,35,26,6,131,37,56,5,172,47,4,0,7,14,2,51,22,13,3,1,0,2,0,0,1,3,0,0,2,7,1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,0,364909,20011,344898,341270,329624,2523,6518,2109,185,311,3628,3478,161,1943,409,65,692,35,20,3,15,22,5,37,36,32,3,138,41,4,0,7,13,1,37,19,8,3,1,0,1,0,0,1,1,0,0,1,5,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,West
