Region,TotalPopulation_2000,percentage_2000
South_East,78959356,27.682646691281796
South_West,73656487,25.823494636177006
Mid_West,64392776,22.575696634086658
North_East,54377978,19.06457231946388
West,13843919,4.853589718990657
