Region,TotalPopulation_2010,percentage_2010
South_East,88486687,28.318338149471234
South_West,85095696,27.233121456932913
Mid_West,66927001,21.418605554166575
North_East,56215174,17.990506373725612
West,15746769,5.03942846570367
