,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,Region
20,PLST,MD,0,2,1,4420588,4333967,2669198,1256052,15238,247014,2491,143974,86621,78264,15302,10935,15520,856,13203,7437,3395,980,3668,707,45,1212,1068,3311,625,7630,4637,627,60,361,315,37,238,327,266,56,211,25,117,77,121,65,17,32,17,24,604,328,25,132,15,30,6,20,11,4,5,9,6,1,11,1,114,90,15,4,3,0,2,9,9,4420588,322308,4098280,4034426,2529506,1239796,10722,245537,1937,6928,63854,57315,13359,9466,14908,793,1452,7050,3212,929,1587,629,35,91,1022,2672,110,6020,3955,540,54,161,257,30,33,308,143,11,191,23,62,71,98,43,14,6,4,16,434,268,22,72,11,17,2,13,4,2,4,8,4,1,6,0,80,67,9,1,1,0,2,5,5,2378814,2156411,222403,South_East
21,PLST,ME,0,2,1,1053828,1042425,1013820,9371,6304,9882,251,2797,11403,10783,1302,6240,1823,182,625,113,49,29,156,52,9,45,65,78,15,563,290,40,4,27,54,14,41,48,18,8,7,0,4,1,2,1,2,2,0,0,37,17,2,3,2,2,0,7,0,0,3,1,0,0,0,0,19,15,3,0,0,1,0,1,1,1053828,10525,1043303,1032757,1007023,9034,6079,9784,234,603,10546,10029,1214,6099,1784,172,271,105,44,27,105,46,7,29,59,65,2,477,253,32,4,18,48,13,31,44,14,3,7,0,3,1,2,1,2,1,0,0,28,14,2,1,0,2,0,5,0,0,3,1,0,0,0,0,11,9,2,0,0,0,0,1,1,721830,557219,164611,North_East
22,PLST,MI,0,2,1,7539572,7428736,6105164,1007295,44739,176342,1939,93257,110836,102200,20330,34528,18244,1851,11052,6961,1624,391,2457,667,101,586,742,2410,256,7988,5236,423,45,334,387,88,279,426,209,39,138,24,124,62,70,32,17,18,10,27,500,250,26,97,25,16,2,37,7,3,15,4,7,4,5,2,139,110,15,0,9,3,2,9,9,7539572,264511,7275061,7181344,5960698,998309,40071,175251,1693,5322,93717,86487,18998,32259,17773,1774,2256,6653,1524,355,1275,592,80,130,700,2060,58,6764,4756,372,37,174,333,79,89,391,140,21,115,23,89,41,48,19,6,9,3,19,358,205,21,61,14,7,0,28,3,0,6,2,3,3,4,1,102,78,11,0,9,2,2,6,6,4532233,3872508,659725,Mid_West
23,PLST,MN,0,2,1,4019862,3965178,3534151,177707,40846,146776,1510,64188,54684,50589,10638,16650,9271,703,5618,2118,772,249,919,391,48,949,626,1398,239,3800,2437,195,27,180,212,35,105,276,102,21,41,11,50,29,18,13,6,18,7,17,226,105,15,54,12,8,2,19,1,0,2,6,1,1,0,0,68,54,6,0,6,1,1,1,1,4019862,148836,3871026,3825969,3462644,174688,38010,146014,1351,3262,45057,41742,9904,15528,8988,655,862,1987,733,240,509,359,40,80,600,1186,71,3129,2144,171,26,81,184,30,26,247,60,6,38,10,29,27,13,11,4,7,3,12,138,82,8,22,6,1,2,11,0,0,1,3,1,1,0,0,48,37,5,0,6,0,0,0,0,2347201,2087227,259974,Mid_West
24,PLST,MO,0,2,1,4563491,4501692,3857945,493221,20581,74926,4196,50823,61799,57770,9930,24523,9082,1145,5397,3209,866,257,1046,275,55,323,573,906,183,3673,2107,172,33,163,301,54,187,297,84,40,64,11,58,33,19,6,11,11,1,21,256,97,14,61,16,13,0,31,4,1,9,3,1,2,4,0,94,81,6,3,2,1,1,6,6,4563491,131812,4431679,4378290,3789292,489611,18397,74340,3918,2732,53389,50022,9388,23428,8813,1074,1064,3034,819,227,522,232,48,74,543,704,52,3102,1902,154,29,94,260,45,97,274,62,16,58,9,33,31,13,2,7,6,0,10,187,83,9,42,10,9,0,20,2,0,7,1,0,2,2,0,74,65,6,2,1,0,0,4,4,2712729,2375611,337118,Mid_West
25,PLST,MS,0,2,1,2211742,2194770,1370641,767499,10216,19643,912,25859,16972,15689,2543,5037,2159,234,2030,1481,595,238,543,119,24,190,136,263,97,1137,581,37,18,63,82,21,52,81,35,18,35,6,23,49,12,12,7,2,2,1,103,27,4,22,7,3,1,6,2,0,3,9,0,0,18,1,40,38,2,0,0,0,0,3,3,2211742,54977,2156765,2143040,1348246,764250,9440,19439,732,933,13725,12730,2375,4815,2067,226,328,1410,520,202,313,102,19,43,125,171,14,911,523,30,16,37,71,15,21,70,18,4,26,3,16,44,6,6,4,0,0,1,64,23,2,13,3,1,0,4,0,0,1,2,0,0,15,0,18,17,1,0,0,0,0,2,2,1274719,1115768,158951,South_East
26,PLST,MT,0,2,1,765852,752213,699344,2786,40351,4926,511,4295,13639,13085,767,8794,1624,265,937,198,52,7,33,90,33,106,106,52,21,498,206,21,2,10,78,16,45,77,19,6,0,1,1,4,1,3,4,1,2,1,41,12,3,5,4,2,0,6,1,0,8,0,0,0,0,0,15,15,0,0,0,0,0,0,0,765852,17420,748432,736423,689188,2617,38949,4838,464,367,12009,11603,710,8359,1531,250,241,182,46,6,11,79,28,28,95,32,5,367,174,16,2,6,58,10,11,71,8,2,0,0,1,4,1,1,2,0,0,0,31,11,3,2,4,1,0,3,1,0,6,0,0,0,0,0,8,8,0,0,0,0,0,0,0,482825,409607,73218,West
27,PLST,NC,0,2,1,7253848,7155579,5155756,1497453,87111,154084,4646,256529,98269,90075,16561,23306,13012,1207,14496,8702,2439,692,3662,681,124,1336,872,2235,750,7377,4573,387,66,439,332,49,231,409,206,52,152,40,115,100,92,42,12,44,13,23,660,270,38,130,51,30,6,49,14,7,20,13,9,3,13,7,141,118,15,1,1,2,4,16,16,7253848,492330,6761518,6687884,4964325,1480769,79295,152537,3791,7167,73634,67229,14591,21583,12483,1118,1632,8252,2269,620,1237,607,95,234,821,1586,101,5837,3984,340,61,161,281,39,81,369,99,14,127,31,60,82,57,19,5,14,0,13,458,207,31,74,38,15,6,39,7,3,10,11,4,1,9,3,100,88,6,1,1,1,3,10,10,4327528,3745155,582373,South_East
28,PLST,ND,0,2,1,522720,517100,480250,5295,23268,5622,240,2425,5620,5367,584,3013,838,96,366,119,54,13,73,63,18,34,41,47,8,222,93,17,4,13,21,9,5,37,7,1,0,2,4,0,0,2,2,3,2,0,22,5,3,4,2,1,1,2,0,0,0,4,0,0,0,0,9,9,0,0,0,0,0,0,0,522720,8064,514656,509608,475686,5157,22786,5563,219,197,5048,4847,549,2907,820,91,103,111,52,12,54,55,18,5,37,31,2,182,77,14,4,9,17,9,4,33,6,1,0,2,1,0,0,1,2,2,0,0,13,4,3,2,1,1,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,317498,281192,36306,Mid_West
29,PLST,NE,0,2,1,1367120,1350091,1210078,56024,11531,23654,881,47923,17029,15988,2770,4506,2785,291,3258,682,223,51,476,91,22,265,189,263,116,949,483,55,6,54,49,9,79,101,30,11,15,3,15,12,7,3,5,1,8,3,76,20,8,20,7,3,0,11,2,2,1,1,0,0,0,1,16,14,0,0,0,0,2,0,0,1367120,98221,1268899,1256723,1166956,54981,9637,23417,686,1046,12176,11402,2546,4010,2682,258,274,636,211,47,281,80,15,21,177,153,11,710,406,44,6,22,42,7,23,95,17,0,13,2,10,10,6,2,2,0,1,2,50,17,6,9,6,2,0,6,0,1,1,1,0,0,0,1,14,12,0,0,0,0,2,0,0,796793,721130,75663,Mid_West
