,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,Region
42,PLST,SD,0,2,1,611383,603679,542948,6544,43336,5567,289,4995,7704,7417,709,4493,779,98,596,241,52,16,66,89,33,103,56,62,24,276,144,10,1,8,24,4,37,26,9,1,3,0,2,4,1,0,1,0,1,0,6,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,611383,12917,598466,591770,537069,6377,42323,5522,237,242,6696,6477,653,4285,753,91,116,222,49,16,44,83,33,36,48,44,4,216,128,9,1,6,24,4,13,22,3,0,2,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363438,322282,41156,Mid_West
43,PLST,TN,0,2,1,4850104,4796259,3864797,755492,15355,67894,2586,90135,53845,50252,8422,19719,7777,858,6341,2463,965,275,1094,258,46,371,417,989,257,3231,1809,163,18,140,243,49,172,244,112,33,70,14,46,40,39,7,10,10,1,11,263,102,9,43,16,10,1,36,9,5,10,11,4,0,4,3,96,84,4,0,1,5,2,3,3,4850104,182006,4668098,4623552,3787577,750653,13005,67288,2017,3012,44546,41573,7821,18823,7519,784,1094,2348,896,247,551,223,30,76,380,746,35,2714,1653,135,16,74,216,45,78,234,71,9,63,13,29,31,27,3,5,6,0,6,182,79,9,27,14,4,0,25,3,1,9,6,0,0,3,2,75,67,2,0,0,4,2,2,2,2812133,2493552,318581,South_East
44,PLST,TX,0,2,1,18279737,17905511,13205588,2123923,119493,726422,15241,1714844,374226,355719,32679,67120,46230,3984,147265,9536,5695,1303,11525,2570,326,8932,3710,11888,2956,16657,6496,921,135,1251,1000,202,1771,1371,1333,451,249,69,285,231,247,101,59,211,122,152,1337,492,51,355,78,46,13,116,39,8,49,32,9,10,28,11,449,369,40,4,16,14,6,64,64,18279737,6143144,12136593,11963907,9074684,2076282,61856,716968,12912,21205,172686,161886,26192,53599,41668,3182,6275,8516,5242,1169,2848,1952,155,371,3398,7026,293,9748,4900,715,108,395,714,158,276,1174,387,47,201,51,122,188,157,39,32,22,8,54,801,346,34,175,56,26,1,92,7,1,18,13,5,4,21,2,235,203,12,3,5,9,3,16,16,9977436,8922933,1054503,South_West
45,PLST,UT,0,2,1,1892858,1859806,1658443,18342,21880,42429,15014,103698,33052,30999,2575,7004,6687,2453,8331,318,227,93,425,156,113,630,975,670,342,1880,361,70,29,90,133,47,156,763,91,50,15,3,11,4,9,1,22,9,3,13,134,37,4,20,4,4,0,36,10,6,6,3,0,1,1,2,37,32,1,0,1,3,0,2,2,1892858,214494,1678364,1657176,1563568,16407,18438,41758,14719,2286,21188,19679,2177,5726,6325,2374,733,276,211,89,101,115,107,61,927,320,137,1393,276,60,26,31,101,38,35,719,26,23,12,3,6,3,4,1,21,2,1,5,88,30,4,5,4,0,0,33,0,1,4,3,0,1,1,2,27,25,0,0,1,1,0,1,1,979709,877692,102017,South_West
46,PLST,VA,0,2,1,6147347,6029145,4339344,1151835,21922,336461,4551,175032,118202,108411,18562,18997,29341,1600,16855,6991,3416,644,3554,810,63,1793,1557,3614,614,8934,5117,621,85,417,541,60,306,651,396,101,172,26,105,97,94,45,30,27,19,24,706,339,30,130,37,34,6,45,9,3,26,31,8,3,4,1,130,104,16,7,2,0,1,21,21,6147347,426857,5720490,5630504,4133385,1135015,16173,334140,3958,7833,89986,82396,16534,16974,28337,1487,1874,6580,3274,590,1434,719,39,125,1472,2847,110,6986,4377,528,65,161,439,53,68,584,246,29,150,24,49,81,62,26,20,9,0,15,506,270,25,54,34,24,4,34,4,2,22,23,6,1,3,0,87,72,8,7,0,0,0,11,11,3364939,3056058,308881,South_East
47,PLST,VT,0,2,1,496508,490220,476844,4061,1738,5928,133,1516,6288,5966,791,3403,1031,96,321,84,40,18,44,11,6,25,28,60,8,294,174,21,4,11,28,5,14,22,8,0,2,0,3,0,0,0,0,1,0,1,22,8,1,3,2,1,1,2,1,1,1,0,0,0,1,0,6,6,0,0,0,0,0,0,0,496508,6328,490180,484358,472559,3840,1619,5876,117,347,5822,5558,735,3319,1003,88,162,73,36,17,27,6,5,8,28,48,3,243,151,19,4,5,24,5,6,20,7,0,1,0,0,0,0,0,0,0,0,1,17,7,1,1,2,1,1,2,0,1,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,322539,256442,66097,North_East
48,PLST,WA,0,2,1,5143186,4984202,4113056,174258,73523,377550,27608,218207,158984,145858,17425,45317,39781,4867,17067,3526,3171,517,1566,1897,382,1232,5207,3157,746,11918,4021,863,132,331,1666,287,519,2713,439,101,251,35,78,112,62,21,135,46,18,88,980,396,66,119,80,14,6,207,21,1,39,14,6,4,5,2,216,191,12,3,2,8,0,12,12,5143186,456355,4686831,4557277,3916304,168177,64574,373973,26642,7607,129554,119035,15984,41368,38149,4531,2297,3152,3020,484,553,1660,323,188,4941,2076,309,9653,3505,791,117,129,1432,242,138,2484,185,23,223,30,36,104,32,12,106,8,0,56,717,324,62,71,62,2,4,147,11,0,12,14,5,0,3,0,140,131,8,0,1,0,0,9,9,2885677,2620076,265601,West
49,PLST,WI,0,2,1,4347494,4301766,3852123,238658,37670,87300,1353,84662,45728,42874,8694,14168,6882,662,6814,1715,455,138,884,327,32,388,537,945,233,2601,1526,110,24,170,132,31,134,215,95,34,37,4,42,6,19,4,1,6,2,9,197,88,13,47,10,6,4,14,4,0,1,3,1,1,4,1,49,49,0,0,0,0,0,7,7,4347494,199822,4147672,4112541,3753673,234526,34419,86610,1200,2113,35131,33006,7872,13092,6650,626,784,1555,424,121,260,287,23,48,515,729,20,1970,1288,91,24,59,104,28,32,205,49,7,30,2,23,4,13,2,1,3,0,5,122,67,10,14,7,3,1,12,0,0,0,3,0,1,4,0,31,31,0,0,0,0,0,2,2,2624358,2279768,344590,Mid_West
50,PLST,WV,0,2,1,1465576,1452282,1386170,48748,3124,9911,330,3999,13294,12478,2739,6075,1650,274,722,441,105,38,137,49,14,30,67,119,18,740,466,30,8,27,43,10,41,58,26,3,10,0,1,1,2,2,2,7,0,3,56,24,7,8,2,0,0,5,1,1,7,1,0,0,0,0,20,17,1,0,1,1,0,0,0,1465576,14764,1450812,1438519,1376801,48118,2902,9825,305,568,12293,11602,2641,5943,1598,256,293,422,101,33,77,43,11,14,66,100,4,638,426,26,6,21,37,8,25,51,16,2,9,0,1,0,2,1,2,3,0,2,37,17,2,5,1,0,0,3,0,1,7,1,0,0,0,0,16,14,0,0,1,1,0,0,0,881917,763831,118086,South_East
51,PLST,WY,0,2,1,428224,421776,394021,3490,8693,3589,313,11670,6448,6170,594,2847,827,129,1238,70,35,4,64,31,12,153,78,64,24,251,94,8,2,11,19,5,38,48,8,2,1,1,4,1,1,1,5,0,0,2,18,5,0,2,1,2,2,3,0,0,2,1,0,0,0,0,6,6,0,0,0,0,0,3,3,428224,32070,396154,391592,376530,3265,7764,3493,264,276,4562,4363,540,2527,781,117,147,59,31,4,12,22,11,13,74,21,4,183,77,8,2,4,15,4,11,45,7,0,0,1,2,1,1,1,3,0,0,1,9,4,0,0,0,1,1,2,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,2,2,261868,226879,34989,West
