Region,TotalPopulation_2000,percentage_2000,TotalPopulation_2010,percentage_2010,TotalPopulation_2020,percentage_2020,Differance_2000_2010,Differance_2010_2020,Differance_2000_2020
South_West,73656487,25.823494636177006,85095696,27.233121456932913,94062049,28.10043928609769,1.409626820755907,0.8673178291647758,2.276944649920683
South_East,78959356,27.682646691281796,88486687,28.318338149471234,95457175,28.51722431126184,0.635691458189438,0.19888616179060747,0.8345776199800454
West,13843919,4.853589718990657,15746769,5.03942846570367,17631381,5.267263009766632,0.1858387467130136,0.22783454406296144,0.41367329077597503
North_East,54377978,19.06457231946388,56215174,17.990506373725612,58599096,17.506107477716228,-1.074065945738269,-0.48439889600938457,-1.5584648417476537
Mid_West,64392776,22.575696634086658,66927001,21.418605554166575,68985454,20.60896591515761,-1.1570910799200824,-0.8096396390089637,-1.9667307189290462
