Region,TotalPopulation_2020,percentage_2020
South_East,95457175,28.51722431126184
South_West,94062049,28.10043928609769
Mid_West,68985454,20.60896591515761
North_East,58599096,17.506107477716228
West,17631381,5.267263009766632
