state,2000_population,2010_population,2000_to_2010_change,2020_predicted,2020_population
IL,12419293,12830632,0.032059,13241969,12812508
MI,9938444,9883640,-0.005545,9828835,10077331
MS,2844658,2967297,0.04133,3089935,2961279
WV,1808344,1852994,0.024096,1897643,1793716
